name,Cardinality,DataType,AssociatedObjectClass,cyclic,Definition,Examples
cbc:ProductTraceID,0..1,IdentifierType,,,"An identifier used for tracing this item instance, such as the EPC number used in RFID.",
cbc:ManufactureDate,0..1,DateType,,,The date on which this item instance was manufactured.,
cbc:ManufactureTime,0..1,TimeType,,,The time at which this item instance was manufactured.,
cbc:BestBeforeDate,0..1,DateType,,,The date before which it is best to use this item instance.,
cbc:RegistrationID,0..1,IdentifierType,,,The registration identifier of this item instance.,car registration or licensing number
cbc:SerialID,0..1,IdentifierType,,,The serial number of this item instance.,chassis number of a car
cac:AdditionalItemProperty,0..n,,ItemProperty,,An additional property of this item instance.,
cac:LotIdentification,0..1,,LotIdentification,,The lot identifier of this item instance (the identifier that allows recall of the item if necessary).,
cac:ItemLocationQuantity,,,,,"A class for information about pricing structure, lead time, and location associated with an item.",
cbc:LeadTimeMeasure,0..1,MeasureType,,,"The lead time, i.e., the time taken from the time at which an item is ordered to the time of its delivery.",10
cbc:MinimumQuantity,0..1,QuantityType,,,The minimum quantity that can be ordered to qualify for a specific price.,
cbc:MaximumQuantity,0..1,QuantityType,,,The maximum quantity that can be ordered to qualify for a specific price.,
cbc:HazardousRiskIndicator,0..1,IndicatorType,,,"An indication that the transported item, as delivered, in the stated quantity to the stated location, is subject to an international regulation concerning the carriage of dangerous goods (true) or not (false).",0
cbc:TradingRestrictions,0..n,TextType,,,Text describing trade restrictions on the quantity of this item or on the item itself.,not for export 
cac:ApplicableTerritoryAddress,0..n,,Address,,The applicable sales territory.,
cac:Price,0..1,,Price,,The price associated with the given location.,
cac:DeliveryUnit,0..n,,DeliveryUnit,,A delivery unit in which the item is located.,
cac:ApplicableTaxCategory,0..n,,TaxCategory,,A tax category applicable to this item location quantity.,
cac:Package,0..1,,Package,,The package to which this price applies.,
cac:AllowanceCharge,0..n,,AllowanceCharge,,An allowance or charge associated with this item location quantity.,
cac:DependentPriceReference,0..1,,DependentPriceReference,,The price of the item as a percentage of the price of some other item.,
cac:ItemManagementProfile,,,,,A class to define a management profile for an item.,
cbc:FrozenPeriodDaysNumeric,0..1,NumericType,,,The number of days in the future that an order forecast quantity automatically becomes a confirmed order for a product.,
cbc:MinimumInventoryQuantity,0..1,QuantityType,,,The quantity of the item that should trigger a replenishment order to avoid depleting the safety stock.,
cbc:MultipleOrderQuantity,0..1,QuantityType,,,The order quantity multiples in which the product may be ordered.,
cbc:OrderIntervalDaysNumeric,0..1,NumericType,,,The number of days between regular replenishment orders for the product.,
cbc:ReplenishmentOwnerDescription,0..n,TextType,,,The trading partner maintaining this item management profile.,
cbc:TargetServicePercent,0..1,PercentType,,,"The Unit Service Level the trading partners expect to be maintained, expressed as a percentage. Unite Service Level (USL) is a term used in Inventory Management, which is sometimes known as ""fill rate"", counts the average number of units short expressed as the percentage of the order quantity.",
cbc:TargetInventoryQuantity,0..1,QuantityType,,,The target inventory quantity.,
cac:EffectivePeriod,1,,Period,,The period during which this profile is effective.,
cac:Item,1,,Item,,The item associated with this item management profile.,
cac:ItemLocationQuantity,0..1,,ItemLocationQuantity,,"A set of location-specific properties (e.g., price and quantity) associated with the item.",
cac:ItemProperty,,,,,A class to describe a specific property of an item.,
cbc:ID,0..1,IdentifierType,,,An identifier for this property of an item.,
cbc:Name,1,NameType,,,The name of this item property.,"Energy Rating , Collar Size , Fat Content "
cbc:NameCode,0..1,CodeType,,,"The name of this item property, expressed as a code.",
cbc:TestMethod,0..1,TextType,,,The method of testing the value of this item property.,"100 watts , 15 European , 20% +/- 5% "
cbc:Value,0..1,TextType,,,"The value of this item property, expressed as text.","100 watts , 15 European , 20% +/- 5% "
cbc:ValueQuantity,0..1,QuantityType,,,"The value of this item property, expressed as a quantity.",
cbc:ValueQualifier,0..n,TextType,,,Text qualifying the value of the property.,
cbc:ImportanceCode,0..1,CodeType,,,A code signifying the importance of this property in using it to describe a related Item.,
cbc:ListValue,0..n,TextType,,,"The value expressed as a text in case the property is a value in a list. For example, a colour.",
cac:UsabilityPeriod,0..1,,Period,,The period during which this item property is valid.,
cac:ItemPropertyGroup,0..n,,ItemPropertyGroup,,A description of the property group to which this item property belongs.,
cac:RangeDimension,0..1,,Dimension,,The range of values for the dimensions of this property.,
cac:ItemPropertyRange,0..1,,ItemPropertyRange,,A range of values for this item property.,
cac:ItemPropertyGroup,,,,,A class to describe a property group or classification.,
cbc:ID,1,IdentifierType,,,An identifier for this group of item properties.,233-004 
cbc:Name,0..1,NameType,,,The name of this item property group.,"Electrical Specifications , Dietary Content "
cbc:ImportanceCode,0..1,CodeType,,,A code signifying the importance of this property group in using it to describe a required Item.,
cac:ItemPropertyRange,,,,,A class to describe a range of values for an item property.,
cbc:MinimumValue,0..1,TextType,,,The minimum value in this range of values.,
cbc:MaximumValue,0..1,TextType,,,The maximum value in this range of values.,
cac:Language,,,,,A class to describe a language.,
cbc:ID,0..1,IdentifierType,,,An identifier for this language.,
cbc:Name,0..1,NameType,,,The name of this language.,
cbc:LocaleCode,0..1,CodeType,,,A code signifying the locale in which this language is used.,
cac:LineItem,,,,,A class to describe a line item.,
cbc:ID,1,IdentifierType,,,"An identifier for this line item, assigned by the buyer.",
cbc:SalesOrderID,0..1,IdentifierType,,,"An identifier for this line item, assigned by the seller.",
cbc:UUID,0..1,IdentifierType,,,A universally unique identifier for this line item.,
cbc:Note,0..n,TextType,,,Free-form text conveying information that is not contained explicitly in other structures.,
cbc:LineStatusCode,0..1,CodeType,,,A code signifying the status of this line item with respect to its original state.,
cbc:Quantity,0..1,QuantityType,,,The quantity of items associated with this line item.,
cbc:LineExtensionAmount,0..1,AmountType,,,"The total amount for this line item, including allowance charges but net of taxes.",
cbc:TotalTaxAmount,0..1,AmountType,,,The total tax amount for this line item.,
cbc:MinimumQuantity,0..1,QuantityType,,,The minimum quantity of the item associated with this line.,
cbc:MaximumQuantity,0..1,QuantityType,,,The maximum quantity of the item associated with this line.,
cbc:MinimumBackorderQuantity,0..1,QuantityType,,,The minimum back order quantity of the item associated with this line (where back order is allowed).,
cbc:MaximumBackorderQuantity,0..1,QuantityType,,,The maximum back order quantity of the item associated with this line (where back order is allowed).,
cbc:InspectionMethodCode,0..1,CodeType,,,A code signifying the inspection requirements for the item associated with this line item.,
cbc:PartialDeliveryIndicator,0..1,IndicatorType,,,An indicator that a partial delivery is allowed (true) or not (false).,1
cbc:BackOrderAllowedIndicator,0..1,IndicatorType,,,An indicator that back order is allowed (true) or not (false).,1
cbc:AccountingCostCode,0..1,CodeType,,,"The buyer's accounting cost centre for this line item, expressed as a code.",
cbc:AccountingCost,0..1,TextType,,,"The buyer's accounting cost centre for this line item, expressed as text.",
cbc:WarrantyInformation,0..n,TextType,,,Text describing a warranty (provided by WarrantyParty) for the good or service described in this line item.,"Unless specified otherwise and in addition to any rights the Customer may have under statute, Dell warrants to the Customer that Dell branded Products (excluding third party products and software), will be free from defects in materials and workmanship affecting normal use for a period of one year from invoice date ( Standard Warranty ). "
cac:Delivery,0..n,,Delivery,,A delivery associated with this line item.,
cac:DeliveryTerms,0..1,,DeliveryTerms,,Terms and conditions of the delivery associated with this line item.,
cac:OriginatorParty,0..1,,Party,,The party who originated the Order associated with this line item.,
cac:OrderedShipment,0..n,,OrderedShipment,,An ordered shipment associated with this line item.,
cac:PricingReference,0..1,,PricingReference,,A reference to pricing and item location information associated with this line item.,
cac:AllowanceCharge,0..n,,AllowanceCharge,,An allowance or charge associated with this line item.,
cac:Price,0..1,,Price,,The price of the item of trade associated with this line item.,
cac:Item,1,,Item,,The item of trade associated with this line item.,
cac:SubLineItem,0..n,,LineItem,x,"The subsidiary line items that constitute the main line item, such as in a bill of materials.",
cac:WarrantyValidityPeriod,0..1,,Period,,The period during which the warranty associated with this line item is valid.,
cac:WarrantyParty,0..1,,Party,,The party responsible for any warranty associated with this line item.,
cac:TaxTotal,0..n,,TaxTotal,,A total amount of taxes of a particular kind applicable to this item.,
cac:ItemPriceExtension,0..1,,PriceExtension,,"The price extension, calculated by multiplying the price per unit by the quantity of items.",
cac:LineReference,0..n,,LineReference,,A reference to a line in a document associated with this line item.,
cac:LineReference,,,,,A class to define a reference to a line in a document.,
cbc:LineID,1,IdentifierType,,,Identifies the referenced line in the document.,
cbc:UUID,0..1,IdentifierType,,,A universally unique identifier for this line reference.,
cbc:LineStatusCode,0..1,CodeType,,,A code signifying the status of the referenced line with respect to its original state.,
cac:DocumentReference,0..1,,DocumentReference,,A reference to the document containing the referenced line.,
cac:LineResponse,,,,,A class to describe responses to a line in a document.,
cac:LineReference,1,,LineReference,,A reference to the line being responded to.,
cac:Response,1..n,,Response,,A response to the referenced line.,
cac:Location,,,,,A class to describe a location.,
cbc:ID,0..1,IdentifierType,,,"An identifier for this location, e.g., the EAN Location Number, GLN.",5790002221134
cbc:Description,0..n,TextType,,,Text describing this location.,
cbc:Conditions,0..n,TextType,,,Free-form text describing the physical conditions of the location.,
cbc:CountrySubentity,0..1,TextType,,,"A territorial division of a country, such as a county or state, expressed as text.","Florida , Tamilnadu "
cbc:CountrySubentityCode,0..1,CodeType,,,"A territorial division of a country, such as a county or state, expressed as a code.",
cbc:LocationTypeCode,0..1,CodeType,,,A code signifying the type of location.,
cbc:InformationURI,0..1,IdentifierType,,,The Uniform Resource Identifier (URI) of a document providing information about this location.,
cbc:Name,0..1,NameType,,,The name of this location.,winter 2005 collection 
cac:ValidityPeriod,0..n,,Period,,"A period during which this location can be used (e.g., for delivery).",
cac:Address,0..1,,Address,,The address of this location.,
cac:SubsidiaryLocation,0..n,,Location,x,A location subsidiary to this location.,
cac:LocationCoordinate,0..n,,LocationCoordinate,,The geographical coordinates of this location.,
cac:LocationCoordinate,,,,,A class for defining a set of geographical coordinates (apparently misnamed).,
cbc:CoordinateSystemCode,0..1,CodeType,,,A code signifying the location system used.,
cbc:LatitudeDegreesMeasure,0..1,MeasureType,,,The degree component of a latitude measured in degrees and minutes.,
cbc:LatitudeMinutesMeasure,0..1,MeasureType,,,The minutes component of a latitude measured in degrees and minutes (modulo 60).,
cbc:LatitudeDirectionCode,0..1,CodeType,,,A code signifying the direction of latitude measurement from the equator (north or south).,
cbc:LongitudeDegreesMeasure,0..1,MeasureType,,,The degree component of a longitude measured in degrees and minutes.,
cbc:LongitudeMinutesMeasure,0..1,MeasureType,,,The minutes component of a longitude measured in degrees and minutes (modulo 60).,
cbc:LongitudeDirectionCode,0..1,CodeType,,,A code signifying the direction of longitude measurement from the prime meridian (east or west).,
cbc:AltitudeMeasure,0..1,MeasureType,,,The altitude of the location.,
cac:LotIdentification,,,,,A class for defining a lot identifier (the identifier of a set of item instances that would be used in case of a recall of that item).,
cbc:LotNumberID,0..1,IdentifierType,,,An identifier for the lot.,
cbc:ExpiryDate,0..1,DateType,,,The expiry date of the lot.,
cac:AdditionalItemProperty,0..n,,ItemProperty,,An additional property of the lot.,
cac:MaritimeTransport,,,,,"A class to describe a vessel used for transport by water (including sea, river, and canal).",
cbc:VesselID,0..1,IdentifierType,,,An identifier for a specific vessel.,International Maritime Organisation number of a vessel
cbc:VesselName,0..1,NameType,,,The name of the vessel.,
cbc:RadioCallSignID,0..1,IdentifierType,,,The radio call sign of the vessel.,NES
cbc:ShipsRequirements,0..n,TextType,,,"Information about what services a vessel will require when it arrives at a port, such as refueling, maintenance, waste disposal etc.",
cbc:GrossTonnageMeasure,0..1,MeasureType,,,"Gross tonnage is calculated by measuring a ship's volume (from keel to funnel, to the outside of the hull framing) and applying a mathematical formula and is used to determine things such as a ship's manning regulations, safety rules, registration fees and port dues.",
cbc:NetTonnageMeasure,0..1,MeasureType,,,Net tonnage is calculated by measuring a ship's internal volume and applying a mathematical formula and is used to calculate the port duties.,
cac:RegistryCertificateDocumentReference,0..1,,DocumentReference,,The certificate issued to the ship by the ships registry in a given flag state.,
cac:RegistryPortLocation,0..1,,Location,,The port in which a vessel is registered or permanently based.,
cac:Meter,,,,,A class to describe a meter and its readings.,
cbc:MeterNumber,0..1,TextType,,,"The meter number, expressed as text.",61722x
cbc:MeterName,0..1,TextType,,,"The name of this meter, which serves as an identifier to distinguish a main meter from a submeter.",
cbc:MeterConstant,0..1,TextType,,,"The factor by which readings of this meter must be multiplied to calculate consumption, expressed as text.",1.000
cbc:MeterConstantCode,0..1,CodeType,,,A code signifying the formula to be used in applying the meter constant.,Factor
cbc:TotalDeliveredQuantity,0..1,QuantityType,,,The quantity delivered; the total quantity consumed as calculated from the meter readings.,
cac:MeterReading,0..n,,MeterReading,,A reading of this meter.,
cac:MeterProperty,0..n,,MeterProperty,,A property of this meter.,
cac:MeterProperty,,,,,The name of this meter property.,
cbc:Name,0..1,NameType,,,"The name of this meter property, expressed as a code.","Energy Rating , Collar Size , Fat Content "
cbc:NameCode,0..1,CodeType,,,"The value of this meter property, expressed as text.",
cbc:Value,0..1,TextType,,,"The value of this meter property, expressed as a quantity.","100 watts , 15 European , 20% +/- 5% "
cbc:ValueQuantity,0..1,QuantityType,,,"The value of this meter property, expressed as a quantity.",
cbc:ValueQualifier,0..n,TextType,,,An additional value to qualify the value of the meter,
cac:MeterReading,,,,,A class to describe a meter reading.,
cbc:ID,0..1,IdentifierType,,,An identifier for this meter reading.,7411013716x
cbc:MeterReadingType,0..1,TextType,,,"The type of this meter reading, expressed as text.",Electricity
cbc:MeterReadingTypeCode,0..1,CodeType,,,"The type of this meter reading, expressed as a code.",Electricity
cbc:PreviousMeterReadingDate,1,DateType,,,The date of the previous meter reading.,2006-09-01
cbc:PreviousMeterQuantity,1,QuantityType,,,The quantity of the previous meter reading.,
cbc:LatestMeterReadingDate,1,DateType,,,The date of the latest meter reading.,2006-09-01
cbc:LatestMeterQuantity,1,QuantityType,,,The quantity of the latest meter reading.,
cbc:PreviousMeterReadingMethod,0..1,TextType,,,"The method used for the previous meter reading, expressed as text.",Manuel
cbc:PreviousMeterReadingMethodCode,0..1,CodeType,,,"The method used for the previous meter reading, expressed as a code.",Estimated
cbc:LatestMeterReadingMethod,0..1,TextType,,,"The method used for the latest meter reading, expressed as text.",Manuel
cbc:LatestMeterReadingMethodCode,0..1,CodeType,,,"The method used for the latest meter reading, expressed as a code.",Estimated
cbc:MeterReadingComments,0..n,TextType,,,Text containing comments on this meter reading.,The last stated meterstand is estimated
cbc:DeliveredQuantity,1,QuantityType,,,Consumption in the period from PreviousMeterReadingDate to LatestMeterReadingDate.,
cac:MiscellaneousEvent,,,,,A class to describe a miscellaneous event associated with a retail event.,
cbc:MiscellaneousEventTypeCode,1,CodeType,,,A code signifying the type of this miscellaneous event. Examples are: ASSORTMENT_CHARGE DISASTER FORECAST_DECREASE FORECAST_INCREASE FREIGHT_FLOW_ALLOCATION INVENTORY_POLICY_CHANGE LOCATION_CLOSING LOCATION_OPENING OTHER OUT_OF_STOCK PACKAGING_LABELING_CHANGE PRICE_DECREASE PRICE_INCREASE STORE_FORMAT_OR_PLANOGRAM_CHANGE TEST_MARKET WEATHER,
cac:EventLineItem,1..n,,EventLineItem,,An event line item for this miscellaneous retail event.,
cac:MonetaryTotal,,,,,A class to define a monetary total.,
cbc:LineExtensionAmount,0..1,AmountType,,,"The monetary amount of an extended transaction line, net of tax and settlement discounts, but inclusive of any applicable rounding amount.",
cbc:TaxExclusiveAmount,0..1,AmountType,,,"The monetary amount of an extended transaction line, exclusive of taxes.",
cbc:TaxInclusiveAmount,0..1,AmountType,,,The monetary amount including taxes; the sum of payable amount and prepaid amount.,
cbc:AllowanceTotalAmount,0..1,AmountType,,,The total monetary amount of all allowances.,
cbc:ChargeTotalAmount,0..1,AmountType,,,The total monetary amount of all charges.,
cbc:PrepaidAmount,0..1,AmountType,,,The total prepaid monetary amount.,
cbc:PayableRoundingAmount,0..1,AmountType,,,The rounding amount (positive or negative) added to produce the line extension amount.,
cbc:PayableAmount,1,AmountType,,,The amount of the monetary total to be paid.,
cbc:PayableAlternativeAmount,0..1,AmountType,,,"The amount of the monetary total to be paid, expressed in an alternative currency.",
cac:NotificationRequirement,,,,,A class to describe a notification requirement.,
cbc:NotificationTypeCode,1,CodeType,,,"A code signifying the type of notification (e.g., pickup status).",
cbc:PostEventNotificationDurationMeasure,0..1,MeasureType,,,The length of time between the occurrence of a given event and the issuance of a notification.,
cbc:PreEventNotificationDurationMeasure,0..1,MeasureType,,,The length of time to elapse between the issuance of a notification and the occurrence of the event it relates to.,
cac:NotifyParty,0..n,,Party,,A party to be notified.,
cac:NotificationPeriod,0..n,,Period,,A period during which a notification should be issued.,
cac:NotificationLocation,0..n,,Location,,A location at which a notification should be issued.,
cac:OnAccountPayment,,,,,A scheduled prepayment (on-account payment) for a estimated utility consumption,
cbc:EstimatedConsumedQuantity,1,QuantityType,,,The estimated consumed quantity covered by the payment.,
cbc:Note,0..n,TextType,,,Free-form text conveying information that is not contained explicitly in other structures.,We make a reservation for price regulations. You will receive you next yearly statement about one year from today.
cac:PaymentTerms,1..n,,PaymentTerms,,A specification of payment terms associated with this payment.,
cac:OrderLine,,,,,"A class to define a line in an order document (e.g., Order, Order Change, or Order Response) describing an item being ordered.",
cbc:SubstitutionStatusCode,0..1,CodeType,,,A code signifying the substitution status of the item on this order line. The order line may indicate that the substitute is proposed by the buyer (in Order) or by the seller (in Order Response) or that a substitution has been made by the seller (in Order Response).,
cbc:Note,0..n,TextType,,,Free-form text conveying information that is not contained explicitly in other structures.,
cac:LineItem,1,,LineItem,,The line item itself.,
cac:SellerProposedSubstituteLineItem,0..n,,LineItem,,"In Order Response, a line item proposed by the seller describing a product that might substitute for the product described in this order line.",
cac:SellerSubstitutedLineItem,0..n,,LineItem,,"In Order Response, a line item that has replaced the original order line item. The specified quantity and pricing may differ from those in the original line item, but when a line item is substituted by the seller, it is assumed that other information, such as shipment details, will remain the same.",
cac:BuyerProposedSubstituteLineItem,0..n,,LineItem,,A description of an item proposed by the buyer as a possible alternative to the item associated with this order line.,
cac:CatalogueLineReference,0..1,,LineReference,,A reference to a catalogue line associated with this order line.,
cac:QuotationLineReference,0..1,,LineReference,,A reference to a quotation line associated with this order line.,
cac:OrderLineReference,0..n,,OrderLineReference,,"A reference to another order line, such as in a replacement order or another line on the same order that is related.",
cac:DocumentReference,0..n,,DocumentReference,,A reference to a document associated with this order line.,
cac:OrderLineReference,,,,,A class to define a reference to an order line.,
cbc:LineID,1,IdentifierType,,,"An identifier for the referenced order line, assigned by the buyer.",
cbc:SalesOrderLineID,0..1,IdentifierType,,,"An identifier for the referenced order line, assigned by the seller.",
cbc:UUID,0..1,IdentifierType,,,A universally unique identifier for this order line reference.,
cbc:LineStatusCode,0..1,CodeType,,,A code signifying the status of the referenced order line with respect to its original state.,
cac:OrderReference,0..1,,OrderReference,,A reference to the Order containing the referenced order line.,
cac:OrderReference,,,,,A class to define a reference to an Order.,
cbc:ID,1,IdentifierType,,,"An identifier for this order reference, assigned by the buyer.",PO-001 3333-44-123 
cbc:SalesOrderID,0..1,IdentifierType,,,"An identifier for this order reference, assigned by the seller.",
cbc:CopyIndicator,0..1,IndicatorType,,,Indicates whether the referenced Order is a copy (true) or the original (false).,1
cbc:UUID,0..1,IdentifierType,,,A universally unique identifier for this order reference.,
cbc:IssueDate,0..1,DateType,,,The date on which the referenced Order was issued.,
cbc:IssueTime,0..1,TimeType,,,The time at which the referenced Order was issued.,
cbc:CustomerReference,0..1,TextType,,,Text used for tagging purchasing card transactions.,
cbc:OrderTypeCode,0..1,CodeType,,,A code signifying the type of the referenced Order.,
cac:DocumentReference,0..1,,DocumentReference,,A document associated with this reference to an Order.,
cac:OrderedShipment,,,,,A class to describe an ordered shipment.,
cac:Shipment,1,,Shipment,,The ordered shipment.,
cac:Package,0..n,,Package,,A package in this ordered shipment.,
cac:Package,,,,,A class to describe a package.,
cbc:ID,0..1,IdentifierType,,,An identifier for this package.,
cbc:Quantity,0..1,QuantityType,,,The quantity of items contained in this package.,
cbc:ReturnableMaterialIndicator,0..1,IndicatorType,,,An indicator that the packaging material is returnable (true) or not (false).,1
cbc:PackageLevelCode,0..1,CodeType,,,A code signifying a level of packaging.,
cbc:PackagingTypeCode,0..1,CodeType,,,A code signifying a type of packaging.,
cbc:PackingMaterial,0..n,TextType,,,Text describing the packaging material.,
cbc:TraceID,0..1,IdentifierType,,,"An identifier for use in tracing this package, such as the EPC number used in RFID.",
cac:ContainedPackage,0..n,,Package,x,A package contained within this package.,
cac:ContainingTransportEquipment,0..1,,TransportEquipment,,The piece of transport equipment containing this package.,
cac:GoodsItem,0..n,,GoodsItem,,A goods item included in this package.,
cac:MeasurementDimension,0..n,,Dimension,,"A measurable dimension (length, mass, weight, or volume) of this package.",
cac:DeliveryUnit,0..n,,DeliveryUnit,,A delivery unit within this package.,
cac:Delivery,0..1,,Delivery,,The delivery of this package.,
cac:Pickup,0..1,,Pickup,,The pickup of this package.,
cac:Despatch,0..1,,Despatch,,The despatch of this package.,
cac:Party,,,,,"A class to describe an organization, sub-organization, or individual fulfilling a role in a business process.",
cbc:MarkCareIndicator,0..1,IndicatorType,,,"An indicator that this party is ""care of"" (c/o) (true) or not (false).",1
cbc:MarkAttentionIndicator,0..1,IndicatorType,,,"An indicator that this party is ""for the attention of"" (FAO) (true) or not (false).",1
cbc:WebsiteURI,0..1,IdentifierType,,,"The Uniform Resource Identifier (URI) that identifies this party's web site; i.e., the web site's Uniform Resource Locator (URL).",
cbc:LogoReferenceID,0..1,IdentifierType,,,An identifier for this party's logo.,http://www2.coca-cola.com/images/logo.gif
cbc:EndpointID,0..1,IdentifierType,,,"An identifier for the end point of the routing service (e.g., EAN Location Number, GLN).",5790002221134
cbc:IndustryClassificationCode,0..1,CodeType,,,This party's Industry Classification Code.,"Public authority , NAIC codes"
cac:PartyIdentification,0..n,,PartyIdentification,,An identifier for this party.,
cac:PartyName,0..n,,PartyName,,A name for this party.,
cac:Language,0..1,,Language,,The language associated with this party.,
cac:PostalAddress,0..1,,Address,,The party's postal address.,
cac:PhysicalLocation,0..1,,Location,,The physical location of this party.,
cac:PartyTaxScheme,0..n,,PartyTaxScheme,,A tax scheme applying to this party.,
cac:PartyLegalEntity,0..n,,PartyLegalEntity,,A description of this party as a legal entity.,
cac:Contact,0..1,,Contact,,The primary contact for this party.,
cac:Person,0..n,,Person,,A person associated with this party.,
cac:AgentParty,0..1,,Party,x,A party who acts as an agent for this party.,Customs Broker
cac:ServiceProviderParty,0..n,,ServiceProviderParty,,A party providing a service to this party.,
cac:PowerOfAttorney,0..n,,PowerOfAttorney,,A power of attorney associated with this party.,
cac:FinancialAccount,0..1,,FinancialAccount,,The financial account associated with this party.,
cac:PartyIdentification,,,,,A class to define an identifier for a party.,
cbc:ID,1,IdentifierType,,,An identifier for the party.,
cac:PartyLegalEntity,,,,,A class to describe a party as a legal entity.,
cbc:RegistrationName,0..1,NameType,,,The name of the party as registered with the relevant legal authority.,Microsoft Corporation 
cbc:CompanyID,0..1,IdentifierType,,,An identifier for the party as registered within a company registration scheme.,3556625 
cbc:RegistrationDate,0..1,DateType,,,The registration date of the CompanyID.,
cbc:RegistrationExpirationDate,0..1,DateType,,,"The date upon which a registration expires (e.g., registration for an import/export license).",
cbc:CompanyLegalFormCode,0..1,CodeType,,,A code signifying the party's legal status.,
cbc:CompanyLegalForm,0..1,TextType,,,"The company legal status, expressed as a text.",
cbc:SoleProprietorshipIndicator,0..1,IndicatorType,,,An indicator that the company is owned and controlled by one person (true) or not (false).,1
cbc:CompanyLiquidationStatusCode,0..1,CodeType,,,A code signifying the party's liquidation status.,
cbc:CorporateStockAmount,0..1,AmountType,,,The number of shares in the capital stock of a corporation.,
cbc:FullyPaidSharesIndicator,0..1,IndicatorType,,,An indicator that all shares of corporate stock have been paid by shareholders (true) or not (false).,1
cac:RegistrationAddress,0..1,,Address,,The registered address of the party within a corporate registration scheme.,
cac:CorporateRegistrationScheme,0..1,,CorporateRegistrationScheme,,The corporate registration scheme used to register the party.,
cac:HeadOfficeParty,0..1,,Party,,The head office of the legal entity,
cac:ShareholderParty,0..n,,ShareholderParty,,A party owning shares in this legal entity.,
cac:PartyName,,,,,A class for defining the name of a party.,
cbc:Name,1,NameType,,,The name of the party.,Microsoft 
cac:PartyTaxScheme,,,,,A class to describe a taxation scheme applying to a party.,
cbc:RegistrationName,0..1,NameType,,,The name of the party as registered with the relevant fiscal authority.,Microsoft Corporation 
cbc:CompanyID,0..1,IdentifierType,,,An identifier for the party assigned for tax purposes by the taxation authority.,3556625 
cbc:TaxLevelCode,0..1,CodeType,,,A code signifying the tax level applicable to the party within this taxation scheme.,
cbc:ExemptionReasonCode,0..1,CodeType,,,"A reason for the party's exemption from tax, expressed as a code.",
cbc:ExemptionReason,0..n,TextType,,,"A reason for the party's exemption from tax, expressed as text.",
cac:RegistrationAddress,0..1,,Address,,The address of the party as registered for tax purposes.,
cac:TaxScheme,1,,TaxScheme,,The taxation scheme applicable to the party.,
cac:Payment,,,,,A class to describe a payment.,
cbc:ID,0..1,IdentifierType,,,An identifier for this payment.,
cbc:PaidAmount,0..1,AmountType,,,The amount of this payment.,
cbc:ReceivedDate,0..1,DateType,,,The date on which this payment was received.,
cbc:PaidDate,0..1,DateType,,,The date on which this payment was made.,
cbc:PaidTime,0..1,TimeType,,,The time at which this payment was made.,
cbc:InstructionID,0..1,IdentifierType,,,An identifier for the payment instruction.,
cac:PaymentMandate,,,,,A class to describe a payment mandate.,
cbc:ID,0..1,IdentifierType,,,An identifier for this payment mandate.,
cbc:MandateTypeCode,0..1,CodeType,,,A code signifying the type of this payment mandate.,
cbc:MaximumPaymentInstructionsNumeric,0..1,NumericType,,,The number of maximum payment instructions allowed within the validity period.,
cbc:MaximumPaidAmount,0..1,AmountType,,,The maximum amount to be paid within a single instruction.,
cbc:SignatureID,0..1,IdentifierType,,,An identifier for a signature applied by a signatory party.,
cac:PayerParty,0..1,,Party,,The payer party (if different from the debtor).,
cac:PayerFinancialAccount,0..1,,FinancialAccount,,The payer's financial account.,
cac:ValidityPeriod,0..1,,Period,,The period during which this mandate is valid.,
cac:PaymentReversalPeriod,0..1,,Period,,The period of the reverse payment.,
cac:Clause,0..n,,Clause,,A clause applicable to this payment mandate.,
cac:PaymentMeans,,,,,A class to describe a means of payment.,
cbc:ID,0..1,IdentifierType,,,An identifier for this means of payment.,
cbc:PaymentMeansCode,1,CodeType,,,A code signifying the type of this means of payment.,
cbc:PaymentDueDate,0..1,DateType,,,The date on which payment is due for this means of payment.,
cbc:PaymentChannelCode,0..1,CodeType,,,A code signifying the payment channel for this means of payment.,
cbc:InstructionID,0..1,IdentifierType,,,An identifier for the payment instruction.,
cbc:InstructionNote,0..n,TextType,,,Free-form text conveying information that is not contained explicitly in other structures.,
cbc:PaymentID,0..n,IdentifierType,,,An identifier for a payment made using this means of payment.,
cac:CardAccount,0..1,,CardAccount,,"A credit card, debit card, or charge card account that constitutes this means of payment.",
cac:PayerFinancialAccount,0..1,,FinancialAccount,,The payer's financial account.,
cac:PayeeFinancialAccount,0..1,,FinancialAccount,,The payee's financial account.,
cac:CreditAccount,0..1,,CreditAccount,,A credit account associated with this means of payment.,
cac:PaymentMandate,0..1,,PaymentMandate,,The payment mandate associated with this means of payment.,
cac:TradeFinancing,0..1,,TradeFinancing,,A trade finance agreement applicable to this means of payment.,
cac:PaymentTerms,,,,,A class to describe a set of payment terms.,
cbc:ID,0..1,IdentifierType,,,An identifier for this set of payment terms.,
cbc:PaymentMeansID,0..n,IdentifierType,,,An identifier for a means of payment associated with these payment terms.,
cbc:PrepaidPaymentReferenceID,0..1,IdentifierType,,,An identifier for a reference to a prepaid payment.,
cbc:Note,0..n,TextType,,,Free-form text conveying information that is not contained explicitly in other structures.,
cbc:ReferenceEventCode,0..1,CodeType,,,A code signifying the event during which these terms are offered.,
