SemSort	ID	Section	PINT Cardinality	Aligned	Aligned Cardinality	Level	BT	BT_ja	DT	Desc	Desc_ja			Example Value (___)	Synt Sort	element	UBLdatatype	UBL syntax binding XPath	selectors	Code list	UBL Occurrence	CardinalityAlignment		Aligned rule	Shared rule	Codelist rule	Pooled rule
2600	ibt-103	Aligned	0..1		0..1	2	Document level charge TAX rate	______________	Percentage	"The TAX rate, represented as percentage that applies to the document level charge."	_____________________(_____)_			10	3270	cbc:Percent	udt:PercentType	/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=true()]/cac:TaxCategory/cbc:Percent			0..1			"[aligned-ibrp-37-jp]-Each Document level charge (ibg-21) MUST have a Document level charge tax category code (ibt-12) and Document level charge tax rate (ibt-13)..
[aligned-ibrp-e-7]-In a Document level charge (ibg-21) where the Document level charge tax category code (ibt-12) is ""Exempt from tax"", the Document level charge tax rate (ibt-13) MUST be  (zero).
[aligned-ibrp-g-7]-In a Document level charge (ibg-21) where the Document level charge tax category code (ibt-12) is ""Export"" the Document level charge tax rate (ibt-13) MUST be  (zero).
[aligned-ibrp-o-7]-A Document level charge (ibg-21) where the tax category code (ibt-12) is ""Not subject to tax"" MUST not contain a Document level charge tax rate (ibt-13)."			"POOLED:
[aligned-ibrp-ae-7]-In a Document level charge (ibg-21) where the Document level charge tax category code (ibt-12) is ""Reverse charge"" the Document level charge tax rate (ibt-13) MUST be greater than zero.
[aligned-ibrp-ae-8]-For each different value of tax category rate (ibt-119) where the tax category code (ibt-118) is """"Reverse charge"", the tax category taxable amount (ibt-116) in a tax breakdown (ibg-23) MUST equal the sum of Invoice line net amounts (ibt-131) plus the sum of document level charge amounts (ibt-99) minus the sum of document level allowance amounts (ibt-92) where the tax category code (ibt-151, ibt-12, ibt-95) is ""Standard rated"" and the tax rate (ibt-152, ibt-13, ibt-96) equals the tax category rate (ibt-119).
[aligned-ibrp-e-7]-In a Document level charge (ibg-21) where the Document level charge tax category code (ibt-12) is ""Exempt from tax"", the Document level charge tax rate (ibt-13) MUST be  (zero).
[aligned-ibrp-g-7]-In a Document level charge (ibg-21) where the Document level charge tax category code (ibt-12) is ""Export"" the Document level charge tax rate (ibt-13) MUST be  (zero).
[aligned-ibrp-ic-7]-In a Document level charge (ibg-21) where the Document level charge tax category code (ibt-12) is ""Intra-community supply"" the Document level charge tax rate (ibt-13) MUST be  (zero).
[aligned-ibrp-o-7]-A Document level charge (ibg-21) where the tax category code (ibt-12) is ""Not subject to tax"" MUST not contain a Document level charge tax rate (ibt-13).
[aligned-ibrp-s-7]-In a Document level charge (ibg-21) where the Document level charge tax category code (ibt-12) is ""Standard rated"" the Document level charge tax rate (ibt-13) MUST be greater than zero.
[aligned-ibrp-s-8]-For each different value of tax category rate (ibt-119) where the tax category code (ibt-118) is ""Standard rated"", the tax category taxable amount (ibt-116) in a tax breakdown (ibg-23) MUST equal the sum of Invoice line net amounts (ibt-131) plus the sum of document level charge amounts (ibt-99) minus the sum of document level allowance amounts (ibt-92) where the tax category code (ibt-151, ibt-12, ibt-95) is ""Standard rated"" and the tax rate (ibt-152, ibt-13, ibt-96) equals the tax category rate (ibt-119).
[aligned-ibrp-z-7]-In a Document level charge (ibg-21) where the Document level charge tax category code (ibt-12) is ""Zero rated"" the Document level charge tax rate (ibt-13) MUST be  (zero)."
2610	ibt-198	Aligned	0..1	Aligned	0..0	2	Document level charge TAX exemption reason code	_____________________	Text	A coded statement of the reason for why the document level charge amount is exempted from TAX.	___________________________________		__________		3280	cbc:TaxExemptionReasonCode	udt:CodeType	/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=true()]/cac:TaxCategory/cbc:TaxExemptionReasonCode			0..1	prohibit	prohibit				
2620	ibt-199	Aligned	0..1	Aligned	0..0	2	Document level charge TAX exemption reason text	____________________	Code	A textual statement of the reason why the document level charge amount is exempted from TAX or why no TAX is being charged	__________________________________		__________		3290	cbc:TaxExemptionReason	udt:TextType	/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=true()]/cac:TaxCategory/cbc:TaxExemptionReason			0..n	prohibit	prohibit				
															3300	cac:TaxScheme	cac:TaxSchemeType	/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=true()]/cac:TaxCategory/cac:TaxScheme			1..1						
															3310	cbc:ID	udt:IdentifierType	/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=true()]/cac:TaxCategory/cac:TaxScheme/cbc:ID			0..1						
															3320	cac:TaxTotal	cac:TaxTotalType	/Invoice/cac:TaxTotal[cbc:TaxAmount/@currencyID=/Invoice/cbc:DocumentCurrencyCode/text()]	cac:TaxTotal/TaxAmount/@currency = cbc:DocumentCurrencyCode		0..n						
2680	ibt-110	Shared	1..1		1..1	2	Invoice total TAX amount	__________	Amount	The total TAX amount for the Invoice.	___________		jbt-110 = _ jbt-117 ___________	400	3330	cbc:TaxAmount	udt:AmountType	/Invoice/cac:TaxTotal[cbc:TaxAmount/@currencyID=/Invoice/cbc:DocumentCurrencyCode/text()]/cbc:TaxAmount			1..1				"SHARED:
[ibr-84]-Invoice total tax amount (ibt-11) and Invoice total tax amount in accounting currency (ibt-111) MUST have the same operational sign.
[ibr-co-14]-Invoice total Tax amount (ibt-11) = Σ Tax category tax amount (ibt-117).
[ibr-co-15]-Invoice total amount with Tax (ibt-112) = Invoice total amount without Tax (ibt-19) + Invoice total Tax amount (ibt-11)."	"CODELIST:
[ibr-cl-3]-currencyID MUST be coded using ISO code list 4217 alpha-3."	
															3340	@currencyID	xsd:normalizedString	/Invoice/cac:TaxTotal[cbc:TaxAmount/@currencyID=/Invoice/cbc:DocumentCurrencyCode/text()]/cbc:TaxAmount/@currencyID			1..1						
2810	ibg-23	Aligned	1..n		1..n	1	TAX BREAKDOWN	_____		"A group of business terms providing information about TAX breakdown by different categories, rates and exemption reasons"	_____________/____________________________________				3350	cac:TaxSubtotal	cac:TaxSubtotalType	/Invoice/cac:TaxTotal[cbc:TaxAmount/@currencyID=/Invoice/cbc:DocumentCurrencyCode/text()]/cac:TaxSubtotal			0..n	CAR-2	CAR-2	"[aligned-ibrp-45]-Each tax breakdown (ibg-23) MUST have a tax category taxable amount (ibt-116).
[aligned-ibrp-46]-Each tax breakdown (ibg-23) MUST have a tax category tax amount (ibt-117).
[aligned-ibrp-47]-Each tax breakdown (ibg-23) MUST be defined through a tax category code (ibt-118).
[aligned-ibrp-48]-Each tax breakdown (ibg-23) MUST have a tax category rate (ibt-119), except if the Invoice is not subject to tax.
[aligned-ibrp-e-1]-An Invoice that contains an Invoice line (ibg-25), a Document level allowance (ibg-2) or a Document level charge (ibg-21) where the tax category code (ibt-151, ibt-95 or ibt-12) is ""Exempt from tax"" MUST contain exactly one tax breakdown (ibg-23) with the tax category code (ibt-118) equal to ""Exempt from tax"".
[aligned-ibrp-e-9]-The tax category tax amount (ibt-117) In a tax breakdown (ibg-23) where the tax category code (ibt-118) equals ""Exempt from tax"" MUST equal  (zero).
[aligned-ibrp-g-1]-An Invoice that contains an Invoice line (ibg-25), a Document level allowance (ibg-2) or a Document level charge (ibg-21) where the tax category code (ibt-151, ibt-95 or ibt-12) is ""Export"" MUST contain in the tax breakdown (ibg-23) exactly one tax category code (ibt-118) equal with ""Export"".
[aligned-ibrp-g-9]-The tax category tax amount (ibt-117) in a tax breakdown (ibg-23) where the tax category code (ibt-118) is ""Export"" MUST be  (zero).
[aligned-ibrp-o-1]-An Invoice that contains an Invoice line (ibg-25), a Document level allowance (ibg-2) or a Document level charge (ibg-21) where the tax category code (ibt-151, ibt-95 or ibt-12) is ""Not subject to tax"" MUST contain exactly one tax breakdown group (ibg-23) with the tax category code (ibt-118) equal to ""Not subject to tax"".
[aligned-ibrp-o-9]-The tax category tax amount (ibt-117) in a tax breakdown (ibg-23) where the tax category code (ibt-118) is ""Not subject to tax"" MUST be  (zero)."			"POOLED:
[aligned-ibrp-21]-Only one tax total (ibg-38) with tax subtotals (ibg-23) MUST be provided.
[aligned-ibrp-45]-Each tax breakdown (ibg-23) MUST have a tax category taxable amount (ibt-116).
[aligned-ibrp-46]-Each tax breakdown (ibg-23) MUST have a tax category tax amount (ibt-117).
[aligned-ibrp-47]-Each tax breakdown (ibg-23) MUST be defined through a tax category code (ibt-118).
[aligned-ibrp-48]-Each tax breakdown (ibg-23) MUST have a tax category rate (ibt-119), except if the Invoice is not subject to tax.
[aligned-ibrp-ae-1]-An Invoice that contains an Invoice line (ibg-25), a Document level allowance (ibg-2) or a Document level charge (ibg-21) where the tax category code (ibt-151, ibt-95 or ibt-12) is ""Reverse charge"" MUST contain in the tax Breakdown (ibg-23) exactly one tax category code (ibt-118) equal with ""Tax reverse charge"".
[aligned-ibrp-ae-8]-For each different value of tax category rate (ibt-119) where the tax category code (ibt-118) is """"Reverse charge"", the tax category taxable amount (ibt-116) in a tax breakdown (ibg-23) MUST equal the sum of Invoice line net amounts (ibt-131) plus the sum of document level charge amounts (ibt-99) minus the sum of document level allowance amounts (ibt-92) where the tax category code (ibt-151, ibt-12, ibt-95) is ""Standard rated"" and the tax rate (ibt-152, ibt-13, ibt-96) equals the tax category rate (ibt-119).
[aligned-ibrp-ae-9]-The tax category tax amount (ibt-117) in a tax breakdown (ibg-23) where tax category code (ibt-118) is ""Reverse charge"" MUST equal the tax category taxable amount (ibt-116) multiplied by the tax category rate (ibt-119).
[aligned-ibrp-ae-1]-A tax breakdown (ibg-23) with tax Category code (ibt-118) ""Reverse charge"" MUST not have a tax exemption reason code (ibt-121) or tax exemption reason text (ibt-12).
[aligned-ibrp-e-1]-An Invoice that contains an Invoice line (ibg-25), a Document level allowance (ibg-2) or a Document level charge (ibg-21) where the tax category code (ibt-151, ibt-95 or ibt-12) is ""Exempt from tax"" MUST contain exactly one tax breakdown (ibg-23) with the tax category code (ibt-118) equal to ""Exempt from tax"".
[aligned-ibrp-e-8]-In a tax breakdown (ibg-23) where the tax category code (ibt-118) is ""Exempt from tax"" the tax category taxable amount (ibt-116) MUST equal the sum of Invoice line net amounts (ibt-131) minus the sum of Document level allowance amounts (ibt-92) plus the sum of Document level charge amounts (ibt-99) where the tax category codes (ibt-151, ibt-95, ibt-12) are ""Exempt from tax"".
[aligned-ibrp-e-9]-The tax category tax amount (ibt-117) In a tax breakdown (ibg-23) where the tax category code (ibt-118) equals ""Exempt from tax"" MUST equal  (zero).
[aligned-ibrp-e-1]-A tax breakdown (ibg-23) with tax Category code (ibt-118) ""Exempt from tax"" MUST have a tax exemption reason code (ibt-121) or a tax exemption reason text
[aligned-ibrp-g-1]-An Invoice that contains an Invoice line (ibg-25), a Document level allowance (ibg-2) or a Document level charge (ibg-21) where the tax category code (ibt-151, ibt-95 or ibt-12) is ""Export"" MUST contain in the tax breakdown (ibg-23) exactly one tax category code (ibt-118) equal with ""Export"".
[aligned-ibrp-g-8]-In a tax breakdown (ibg-23) where the tax category code (ibt-118) is ""Export"" the tax category taxable amount (ibt-116) MUST equal the sum of Invoice line net amounts (ibt-131) minus the sum of Document level allowance amounts (ibt-92) plus the sum of Document level charge amounts (ibt-99) where the tax category codes (ibt-151, ibt-95, ibt-12) are ""Export"".
[aligned-ibrp-g-9]-The tax category tax amount (ibt-117) in a tax breakdown (ibg-23) where the tax category code (ibt-118) is ""Export"" MUST be  (zero).
[aligned-ibrp-g-1]-A tax breakdown (ibg-23) with the tax Category code (ibt-118) ""Export"" MUST have a tax exemption reason code (ibt-121), meaning ""Export"" or the tax exemption reason text (ibt-12) ""Export"" (or the equivalent standard text in another language).
[aligned-ibrp-ic-1]-An Invoice that contains an Invoice line (ibg-25), a Document level allowance (ibg-2) or a Document level charge (ibg-21) where the tax category code (ibt-151, BT-95 or BT-12) is ""Intra-community supply"" MUST contain in the tax breakdown (ibg-23) exactly one tax category code (ibt-118) equal with ""Intra-community supply"".
[aligned-ibrp-ic-8]-In a tax breakdown (ibg-23) where the tax category code (ibt-118) is ""Intra-community supply"" the tax category taxable amount (ibt-116) MUST equal the sum of Invoice line net amounts (ibt-131) minus the sum of Document level allowance amounts (ibt-92) plus the sum of Document level charge amounts (ibt-99) where the tax category codes (ibt-151, BT-95, BT-12) are ""Intra-community supply"".
[aligned-ibrp-ic-9]-The tax category tax amount (ibt-117) in a tax breakdown (ibg-23) where the tax category code (ibt-118) is ""Intra-community supply"" MUST be  (zero).
[aligned-ibrp-ic-1]-A tax breakdown (ibg-23) with the tax Category code (ibt-118) ""Intra-community supply"" MUST have a tax exemption reason code (ibt-121), meaning ""Intra-community supply"" or the tax exemption reason text (ibt-12) ""Intra-community supply"" (or the equivalent standard text in another language).
[aligned-ibrp-ic-11]-In an Invoice with a tax breakdown (ibg-23) where the tax category code (ibt-118) is ""Intra-community supply"" the Actual delivery date (ibt-72) or the Invoicing period (ibg-14) MUST not be blank.
[aligned-ibrp-ic-12]-In an Invoice with a tax breakdown (ibg-23) where the tax category code (ibt-118) is ""Intra-community supply"" the Deliver to country code (ibt-8) MUST not be blank.
[aligned-ibrp-o-1]-An Invoice that contains an Invoice line (ibg-25), a Document level allowance (ibg-2) or a Document level charge (ibg-21) where the tax category code (ibt-151, ibt-95 or ibt-12) is ""Not subject to tax"" MUST contain exactly one tax breakdown group (ibg-23) with the tax category code (ibt-118) equal to ""Not subject to tax"".
[aligned-ibrp-o-8]-In a tax breakdown (ibg-23) where the tax category code (ibt-118) is "" Not subject to tax"" the tax category taxable amount (ibt-116) MUST equal the sum of Invoice line net amounts (ibt-131) minus the sum of Document level allowance amounts (ibt-92) plus the sum of Document level charge amounts (ibt-99) where the tax category codes (ibt-151, ibt-95, ibt-12) are ""Not subject to tax"".
[aligned-ibrp-o-9]-The tax category tax amount (ibt-117) in a tax breakdown (ibg-23) where the tax category code (ibt-118) is ""Not subject to tax"" MUST be  (zero).
[aligned-ibrp-o-1]-A tax breakdown (ibg-23) with tax Category code (ibt-118) "" Not subject to tax"" MUST have a tax exemption reason code (ibt-121), meaning "" Not subject to tax"" or a tax exemption reason text (ibt-12) "" Not subject to tax"" (or the equivalent standard text in another language).
[aligned-ibrp-o-11]-An Invoice that contains a tax breakdown group (ibg-23) with a tax category code (ibt-118) ""Not subject to tax"" MUST not contain other tax breakdown groups (ibg-23).
[aligned-ibrp-o-12]-An Invoice that contains a tax breakdown group (ibg-23) with a tax category code (ibt-118) ""Not subject to tax"" MUST not contain an Invoice line (ibg-25) where the Invoiced item tax category code (ibt-151) is not ""Not subject to tax"".
[aligned-ibrp-o-13]-An Invoice that contains a tax breakdown group (ibg-23) with a tax category code (ibt-118) ""Not subject to tax"" MUST not contain Document level allowances (ibg-2) where Document level allowance tax category code (ibt-95) is not ""Not subject to tax"".
[aligned-ibrp-o-14]-An Invoice that contains a tax breakdown group (ibg-23) with a tax category code (ibt-118) ""Not subject to tax"" MUST not contain Document level charges (ibg-21) where Document level charge tax category code (ibt-12) is not ""Not subject to tax"".
[aligned-ibrp-s-1]-An Invoice that contains an Invoice line (ibg-25), a Document level allowance (ibg-2) or a Document level charge (ibg-21) where the tax category code (ibt-151, ibt-95 or ibt-12) is ""Standard rated"" MUST contain in the tax breakdown (ibg-23) at least one tax category code (ibt-118) equal with ""Standard rated"".
[aligned-ibrp-s-8]-For each different value of tax category rate (ibt-119) where the tax category code (ibt-118) is ""Standard rated"", the tax category taxable amount (ibt-116) in a tax breakdown (ibg-23) MUST equal the sum of Invoice line net amounts (ibt-131) plus the sum of document level charge amounts (ibt-99) minus the sum of document level allowance amounts (ibt-92) where the tax category code (ibt-151, ibt-12, ibt-95) is ""Standard rated"" and the tax rate (ibt-152, ibt-13, ibt-96) equals the tax category rate (ibt-119).
[aligned-ibrp-s-9]-The tax category tax amount (ibt-117) in a tax breakdown (ibg-23) where tax category code (ibt-118) is ""Standard rated"" MUST equal the tax category taxable amount (ibt-116) multiplied by the tax category rate (ibt-119).
[aligned-ibrp-s-1]-A tax breakdown (ibg-23) with tax Category code (ibt-118) ""Standard rate"" MUST not have a tax exemption reason code (ibt-121) or tax exemption reason text (ibt-12).
[aligned-ibrp-z-1]-An Invoice that contains an Invoice line (ibg-25), a Document level allowance (ibg-2) or a Document level charge (ibg-21) where the tax category code (ibt-151, ibt-95 or ibt-12) is ""Zero rated"" MUST contain in the tax breakdown (ibg-23) exactly one tax category code (ibt-118) equal with ""Zero rated"".
[aligned-ibrp-z-8]-In a tax breakdown (ibg-23) where tax category code (ibt-118) is ""Zero rated"" the tax category taxable amount (ibt-116) MUST equal the sum of Invoice line net amount (ibt-131) minus the sum of Document level allowance amounts (ibt-92) plus the sum of Document level charge amounts (ibt-99) where the tax category codes (ibt-151, ibt-95, ibt-12) are ""Zero rated"".
[aligned-ibrp-z-9]-The tax category tax amount (ibt-117) in a tax breakdown (ibg-23) where tax category code (ibt-118) is ""Zero rated"" MUST equal  (zero).
[aligned-ibrp-z-1]-A tax breakdown (ibg-23) with tax Category code (ibt-118) ""Zero rated"" MUST not have a tax exemption reason code (ibt-121) or tax exemption reason text (ibt-12)."
2820	ibt-116	Aligned	1..1		1..1	2	TAX category taxable amount	___________	Amount	Sum of all taxable amounts subject to a specific TAX category code and TAX category rate (if the TAX category rate is applicable).	____/____________________			4000	3360	cbc:TaxableAmount	udt:AmountType	/Invoice/cac:TaxTotal[cbc:TaxAmount/@currencyID=/Invoice/cbc:DocumentCurrencyCode/text()]/cac:TaxSubtotal/cbc:TaxableAmount			0..1	CAR-2	CAR-2	"[aligned-ibrp-45]-Each tax breakdown (ibg-23) MUST have a tax category taxable amount (ibt-116).
[aligned-ibrp-51-jp]-Tax category tax amount (ibt-117) = tax category taxable amount (ibt-116) x (tax category rate (ibt-119) / 1), rounded to integer. The rounded result amount shall be between the floor and the ceiling.."		"CODELIST:
[ibr-cl-3]-currencyID MUST be coded using ISO code list 4217 alpha-3."	"POOLED:
[aligned-ibrp-45]-Each tax breakdown (ibg-23) MUST have a tax category taxable amount (ibt-116).
[aligned-ibrp-51]-Tax category tax amount (ibt-117) = tax category taxable amount (ibt-116) x (tax category rate (ibt-119) / 1), rounded to two decimals.
[aligned-ibrp-ae-8]-For each different value of tax category rate (ibt-119) where the tax category code (ibt-118) is """"Reverse charge"", the tax category taxable amount (ibt-116) in a tax breakdown (ibg-23) MUST equal the sum of Invoice line net amounts (ibt-131) plus the sum of document level charge amounts (ibt-99) minus the sum of document level allowance amounts (ibt-92) where the tax category code (ibt-151, ibt-12, ibt-95) is ""Standard rated"" and the tax rate (ibt-152, ibt-13, ibt-96) equals the tax category rate (ibt-119).
[aligned-ibrp-ae-9]-The tax category tax amount (ibt-117) in a tax breakdown (ibg-23) where tax category code (ibt-118) is ""Reverse charge"" MUST equal the tax category taxable amount (ibt-116) multiplied by the tax category rate (ibt-119).
[aligned-ibrp-e-8]-In a tax breakdown (ibg-23) where the tax category code (ibt-118) is ""Exempt from tax"" the tax category taxable amount (ibt-116) MUST equal the sum of Invoice line net amounts (ibt-131) minus the sum of Document level allowance amounts (ibt-92) plus the sum of Document level charge amounts (ibt-99) where the tax category codes (ibt-151, ibt-95, ibt-12) are ""Exempt from tax"".
[aligned-ibrp-g-8]-In a tax breakdown (ibg-23) where the tax category code (ibt-118) is ""Export"" the tax category taxable amount (ibt-116) MUST equal the sum of Invoice line net amounts (ibt-131) minus the sum of Document level allowance amounts (ibt-92) plus the sum of Document level charge amounts (ibt-99) where the tax category codes (ibt-151, ibt-95, ibt-12) are ""Export"".
[aligned-ibrp-ic-8]-In a tax breakdown (ibg-23) where the tax category code (ibt-118) is ""Intra-community supply"" the tax category taxable amount (ibt-116) MUST equal the sum of Invoice line net amounts (ibt-131) minus the sum of Document level allowance amounts (ibt-92) plus the sum of Document level charge amounts (ibt-99) where the tax category codes (ibt-151, BT-95, BT-12) are ""Intra-community supply"".
[aligned-ibrp-o-8]-In a tax breakdown (ibg-23) where the tax category code (ibt-118) is "" Not subject to tax"" the tax category taxable amount (ibt-116) MUST equal the sum of Invoice line net amounts (ibt-131) minus the sum of Document level allowance amounts (ibt-92) plus the sum of Document level charge amounts (ibt-99) where the tax category codes (ibt-151, ibt-95, ibt-12) are ""Not subject to tax"".
[aligned-ibrp-s-8]-For each different value of tax category rate (ibt-119) where the tax category code (ibt-118) is ""Standard rated"", the tax category taxable amount (ibt-116) in a tax breakdown (ibg-23) MUST equal the sum of Invoice line net amounts (ibt-131) plus the sum of document level charge amounts (ibt-99) minus the sum of document level allowance amounts (ibt-92) where the tax category code (ibt-151, ibt-12, ibt-95) is ""Standard rated"" and the tax rate (ibt-152, ibt-13, ibt-96) equals the tax category rate (ibt-119).
[aligned-ibrp-s-9]-The tax category tax amount (ibt-117) in a tax breakdown (ibg-23) where tax category code (ibt-118) is ""Standard rated"" MUST equal the tax category taxable amount (ibt-116) multiplied by the tax category rate (ibt-119).
[aligned-ibrp-z-8]-In a tax breakdown (ibg-23) where tax category code (ibt-118) is ""Zero rated"" the tax category taxable amount (ibt-116) MUST equal the sum of Invoice line net amount (ibt-131) minus the sum of Document level allowance amounts (ibt-92) plus the sum of Document level charge amounts (ibt-99) where the tax category codes (ibt-151, ibt-95, ibt-12) are ""Zero rated""."
															3370	@currencyID	xsd:normalizedString	/Invoice/cac:TaxTotal[cbc:TaxAmount/@currencyID=/Invoice/cbc:DocumentCurrencyCode/text()]/cac:TaxSubtotal/cbc:TaxableAmount/@currencyID			1..1						
2830	ibt-117	Aligned	1..1		1..1	2	TAX category tax amount	__________	Amount	The total TAX amount for a given TAX category.	_____________			400	3380	cbc:TaxAmount	udt:AmountType	/Invoice/cac:TaxTotal[cbc:TaxAmount/@currencyID=/Invoice/cbc:DocumentCurrencyCode/text()]/cac:TaxSubtotal/cbc:TaxAmount			1..1			"[aligned-ibr-jp-6]-Tax category tax amount (ibt-117) with currency code JPY and tax category tax amount in accounting currency (ibt-19) shall not have decimal.
[aligned-ibrp-46]-Each tax breakdown (ibg-23) MUST have a tax category tax amount (ibt-117).
[aligned-ibrp-51-jp]-Tax category tax amount (ibt-117) = tax category taxable amount (ibt-116) x (tax category rate (ibt-119) / 1), rounded to integer. The rounded result amount shall be between the floor and the ceiling..
[aligned-ibrp-e-9]-The tax category tax amount (ibt-117) In a tax breakdown (ibg-23) where the tax category code (ibt-118) equals ""Exempt from tax"" MUST equal  (zero).
[aligned-ibrp-g-9]-The tax category tax amount (ibt-117) in a tax breakdown (ibg-23) where the tax category code (ibt-118) is ""Export"" MUST be  (zero).
[aligned-ibrp-o-9]-The tax category tax amount (ibt-117) in a tax breakdown (ibg-23) where the tax category code (ibt-118) is ""Not subject to tax"" MUST be  (zero)."	"SHARED:
[ibr-co-14]-Invoice total Tax amount (ibt-11) = Σ Tax category tax amount (ibt-117)."	"CODELIST:
[ibr-cl-3]-currencyID MUST be coded using ISO code list 4217 alpha-3."	"POOLED:
[aligned-ibrp-46]-Each tax breakdown (ibg-23) MUST have a tax category tax amount (ibt-117).
[aligned-ibrp-51]-Tax category tax amount (ibt-117) = tax category taxable amount (ibt-116) x (tax category rate (ibt-119) / 1), rounded to two decimals.
[aligned-ibrp-ae-9]-The tax category tax amount (ibt-117) in a tax breakdown (ibg-23) where tax category code (ibt-118) is ""Reverse charge"" MUST equal the tax category taxable amount (ibt-116) multiplied by the tax category rate (ibt-119).
[aligned-ibrp-e-9]-The tax category tax amount (ibt-117) In a tax breakdown (ibg-23) where the tax category code (ibt-118) equals ""Exempt from tax"" MUST equal  (zero).
[aligned-ibrp-g-9]-The tax category tax amount (ibt-117) in a tax breakdown (ibg-23) where the tax category code (ibt-118) is ""Export"" MUST be  (zero).
[aligned-ibrp-ic-9]-The tax category tax amount (ibt-117) in a tax breakdown (ibg-23) where the tax category code (ibt-118) is ""Intra-community supply"" MUST be  (zero).
[aligned-ibrp-o-9]-The tax category tax amount (ibt-117) in a tax breakdown (ibg-23) where the tax category code (ibt-118) is ""Not subject to tax"" MUST be  (zero).
[aligned-ibrp-s-9]-The tax category tax amount (ibt-117) in a tax breakdown (ibg-23) where tax category code (ibt-118) is ""Standard rated"" MUST equal the tax category taxable amount (ibt-116) multiplied by the tax category rate (ibt-119).
[aligned-ibrp-z-9]-The tax category tax amount (ibt-117) in a tax breakdown (ibg-23) where tax category code (ibt-118) is ""Zero rated"" MUST equal  (zero)."
															3390	@currencyID	xsd:normalizedString	/Invoice/cac:TaxTotal[cbc:TaxAmount/@currencyID=/Invoice/cbc:DocumentCurrencyCode/text()]/cac:TaxSubtotal/cbc:TaxAmount/@currencyID			1..1						
															3400	cac:TaxCategory	cac:TaxCategoryType	/Invoice/cac:TaxTotal[cbc:TaxAmount/@currencyID=/Invoice/cbc:DocumentCurrencyCode/text()]/cac:TaxSubtotal/cac:TaxCategory			1..1						
